all_sequences.fasta,951079
zika_10_10.fasta,10807
zika_11_11.fasta,10807
zika_12_12.fasta,10807
zika_13_13.fasta,10806
zika_14_14.fasta,10806
zika_15_15.fasta,10808
zika_16_16.fasta,10808
zika_17_17.fasta,10807
zika_18_18.fasta,10807
zika_19_19.fasta,10807
zika_1_1.fasta,10808
zika_20_20.fasta,10808
zika_21_21.fasta,10807
zika_22_22.fasta,10807
zika_23_23.fasta,10807
zika_24_24.fasta,10808
zika_25_25.fasta,10807
zika_26_26.fasta,10807
zika_27_27.fasta,10807
zika_28_28.fasta,10808
zika_29_29.fasta,10807
zika_2_2.fasta,10807
zika_30_30.fasta,10807
zika_31_31.fasta,10807
zika_32_32.fasta,10808
zika_33_33.fasta,10807
zika_34_34.fasta,10807
zika_35_35.fasta,10807
zika_36_36.fasta,10808
zika_37_37.fasta,10807
zika_38_38.fasta,10807
zika_39_39.fasta,10807
zika_3_3.fasta,10807
zika_40_40.fasta,10807
zika_41_41.fasta,10808
zika_42_42.fasta,10807
zika_43_43.fasta,10807
zika_44_44.fasta,10807
zika_45_45.fasta,10807
zika_46_46.fasta,10810
zika_47_47.fasta,10812
zika_48_48.fasta,10808
zika_49_49.fasta,10803
zika_4_4.fasta,10807
zika_50_50.fasta,10807
zika_51_51.fasta,10808
zika_52_52.fasta,10808
zika_53_53.fasta,10808
zika_54_54.fasta,10808
zika_55_55.fasta,10808
zika_56_56.fasta,10808
zika_57_57.fasta,10807
zika_58_58.fasta,10807
zika_59_59.fasta,10800
zika_5_5.fasta,10807
zika_60_60.fasta,10807
zika_61_61.fasta,10807
zika_62_62.fasta,10807
zika_63_63.fasta,10807
zika_64_64.fasta,10807
zika_65_65.fasta,10807
zika_66_66.fasta,10807
zika_67_67.fasta,10807
zika_68_68.fasta,10807
zika_69_69.fasta,10808
zika_6_6.fasta,10807
zika_70_70.fasta,10807
zika_71_71.fasta,10864
zika_72_72.fasta,10807
zika_73_73.fasta,10807
zika_74_74.fasta,10807
zika_75_75.fasta,10807
zika_76_76.fasta,10806
zika_77_77.fasta,10807
zika_78_78.fasta,10806
zika_79_79.fasta,10806
zika_7_7.fasta,10808
zika_80_80.fasta,10807
zika_81_81.fasta,10807
zika_82_82.fasta,10806
zika_83_83.fasta,10807
zika_84_84.fasta,10808
zika_85_85.fasta,10805
zika_86_86.fasta,10807
zika_87_87.fasta,10805
zika_88_88.fasta,10807
zika_8_8.fasta,10807
zika_9_9.fasta,10807
